Year,Round,MaxTemp,Rainfall,StadiumCapacity,Rivalry,Venue,HomeTeam,AwayTeam,DayC,MinutesSinceMidnight,HomeProbability,previous_game_home_position,previous_game_away_position,previous_game_home_win_loss,previous_game_away_win_loss
0.32054467713111867,1.1141248355269153,-0.41573984809727954,-0.33974264397884785,-0.29085667939309595,-0.31030002786051086,Docklands,Carlton,Greater Western Sydney,Sunday,-1.4165457870887295,-1.890363279522771,1.6547391789759396,-0.8146875765058303,1.0783423632476334,0.9402982274263747
0.32054467713111867,0.9715841028974985,-0.2409339082747882,-0.2487946593449939,1.598205241473803,3.222687432208448,M.C.G.,Richmond,Collingwood,Saturday,-1.175841943453063,0.6285307553900005,-1.6144444220659098,-1.1994615015281396,1.0783423632476334,0.9402982274263747
-0.253877150128021,-0.02620102550841849,-1.2897695472097352,-0.33974264397884785,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,Collingwood,Monday,-0.522502939299111,0.13540846717697044,0.308604755017531,0.532021161072252,-0.927349266876903,-1.0634923802175307
1.7565992452789678,-0.45382322339666864,0.3490361386261193,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,Collingwood,Greater Western Sydney,Sunday,0.027677274725269593,1.2230301239572412,-1.6144444220659098,0.7244081235834066,1.0783423632476334,-1.0634923802175307
0.32054467713111867,0.40142117237983166,-0.8090532126978844,-0.27911065422294523,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,St Kilda,Sunday,-1.4165457870887295,1.2887610123737658,-0.6529198335241895,1.3015690111168703,-0.927349266876903,0.9402982274263747
0.03333376350154884,1.256665568156332,0.7204987607489128,-0.37005863885679924,-0.5077962022458916,-0.31030002786051086,S.C.G.,Sydney,Fremantle,Saturday,-1.175841943453063,1.500977880689977,-0.6529198335241895,0.9167950860945612,1.0783423632476334,0.9402982274263747
-0.8282989773871606,0.9715841028974985,-1.0931128649094326,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Melbourne,Brisbane Lions,Sunday,-1.4165457870887295,-0.028340772088760315,1.4624342612675956,1.1091820486057158,-0.927349266876903,0.9402982274263747
1.4693883316493979,0.40142117237983166,-0.5905457879197704,-0.30942664910089657,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,Brisbane Lions,Thursday,1.1280377027740307,0.2174739367390501,-1.4221395043575658,-1.5842354265504488,-0.927349266876903,0.9402982274263747
0.03333376350154884,1.5417470334151655,-0.7653517277422618,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,Collingwood,Melbourne,Saturday,-1.175841943453063,-1.0952559034688232,0.6932145904342192,-0.4299136514835211,-0.927349266876903,0.9402982274263747
1.7565992452789678,0.11633970712099823,0.15237945632581706,2.5099608745485766,-0.022020073446946217,-0.31030002786051086,Perth Stadium,Fremantle,Richmond,Saturday,0.33715364511398366,0.10399199293970829,-0.07600508039915718,0.7244081235834066,1.0783423632476334,0.9402982274263747
-1.1155098910167305,-0.8814454212849188,-0.7435009852644504,0.2362612587022273,1.598205241473803,-0.31030002786051086,M.C.G.,Richmond,Geelong,Saturday,1.2655827562801258,-1.02288701749924,-0.6529198335241895,-1.1994615015281396,-0.927349266876903,0.9402982274263747
-0.8282989773871606,-1.0239861539143356,0.21793168375925143,-0.37005863885679924,-0.5077962022458916,-0.31030002786051086,S.C.G.,Sydney,Fremantle,Saturday,0.027677274725269593,-0.7074039052255877,0.6932145904342192,-0.8146875765058303,-0.927349266876903,0.9402982274263747
0.32054467713111867,0.8290433702680818,-1.2023665772984897,-0.2487946593449939,-0.29085667939309595,-0.31030002786051086,Docklands,Essendon,Fremantle,Saturday,-0.006708988651254196,1.2887610123737658,0.500909672725875,0.7244081235834066,1.0783423632476334,0.9402982274263747
0.03333376350154884,-1.1665268865437521,1.747483657206049,-0.37005863885679924,-0.7506842666453644,-0.31030002786051086,Gabba,Brisbane Lions,Richmond,Sunday,0.027677274725269593,-1.1246200926102672,0.6932145904342192,-1.391848464039294,-0.927349266876903,0.9402982274263747
1.7565992452789678,-0.45382322339666864,0.4145883660595537,-0.37005863885679924,-0.5077962022458916,-0.31030002786051086,S.C.G.,Sydney,Fremantle,Saturday,-1.175841943453063,0.7705570316016244,0.308604755017531,0.532021161072252,-0.927349266876903,0.9402982274263747
-1.1155098910167305,1.256665568156332,-0.30648613570822253,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,Fremantle,Sunday,-1.4165457870887295,-2.168989918126227,1.4624342612675956,-1.0070745390169848,-0.927349266876903,0.9402982274263747
-1.1155098910167305,0.25888043975041497,0.4364391085373654,1.1760570999187183,-1.4388671157772037,-0.31030002786051086,Carrara,Gold Coast,Adelaide,Saturday,-1.2102282068295867,-0.6708585801631552,0.500909672725875,0.33963419856109733,-0.927349266876903,-1.0634923802175307
-1.1155098910167305,-0.31128249076725195,-0.7872024702200731,0.32720924333608126,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,Hawthorn,Sunday,-0.522502939299111,-2.232222552334734,1.4624342612675956,-1.5842354265504488,-0.927349266876903,0.9402982274263747
-0.5410880637575908,-0.8814454212849188,0.174230198803628,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Western Bulldogs,St Kilda,Saturday,-1.003910626570444,0.41794006997276517,-1.2298345866492217,1.3015690111168703,1.0783423632476334,-1.0634923802175307
-1.4027208046463002,-0.31128249076725195,-0.5468443029641474,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,St Kilda,Richmond,Friday,1.3343552830331735,-0.19675706583970684,-0.46061491581584535,0.532021161072252,1.0783423632476334,0.9402982274263747
-0.253877150128021,-0.45382322339666864,1.1138121253495181,-0.37005863885679924,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Port Adelaide,West Coast,Saturday,-0.21302656891039692,-0.8516324018460278,0.1162998373091869,-0.4299136514835211,-0.927349266876903,0.9402982274263747
0.6077555907606885,0.5439619050092483,-0.13168019588573124,-0.30942664910089657,-0.29085667939309595,-0.31030002786051086,Docklands,Western Bulldogs,Geelong,Saturday,1.1624239661505547,-1.298719246809537,0.6932145904342192,-1.5842354265504488,1.0783423632476334,0.9402982274263747
-0.253877150128021,1.3992063007857487,-0.9620084100425644,-0.06689869007728595,-0.29085667939309595,-0.31030002786051086,Docklands,Essendon,Western Bulldogs,Sunday,0.027677274725269593,-1.8214744954523925,1.6547391789759396,-0.4299136514835211,1.0783423632476334,0.9402982274263747
1.4693883316493979,-0.5963639560260854,-0.7216502427866388,0.008891297117592364,-0.29085667939309595,-0.31030002786051086,Docklands,Essendon,Hawthorn,Saturday,1.1624239661505547,-0.9527796592162062,1.2701293435592513,0.33963419856109733,-0.927349266876903,-1.0634923802175307
-1.1155098910167305,-0.8814454212849188,0.2616331687148741,-0.37005863885679924,-0.3766366474701764,-0.31030002786051086,Football Park,Adelaide,Hawthorn,Saturday,-0.17864030553387314,-1.5007488318051205,0.1162998373091869,-1.0070745390169848,-0.927349266876903,0.9402982274263747
1.4693883316493979,1.256665568156332,0.4145883660595537,-0.37005863885679924,-1.4388671157772037,-0.31030002786051086,Sydney Showground,Greater Western Sydney,Essendon,Saturday,-1.003910626570444,-0.5426996319990083,1.2701293435592513,0.9167950860945612,-0.927349266876903,0.9402982274263747
-1.4027208046463002,-0.31128249076725195,0.9390061855270269,3.6316526850327753,-0.7506842666453644,-0.31030002786051086,Gabba,Brisbane Lions,West Coast,Sunday,-1.4165457870887295,-1.5423119846497688,0.8855195081425632,-1.5842354265504488,-0.927349266876903,0.9402982274263747
-1.1155098910167305,1.5417470334151655,0.8079017306601589,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Western Bulldogs,Melbourne,Sunday,0.027677274725269593,1.3919219900274793,1.0778244258509073,1.493955973628025,-0.927349266876903,-1.0634923802175307
1.4693883316493979,-0.8814454212849188,-0.08797871093010859,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,Richmond,Melbourne,Sunday,1.1624239661505547,-1.2831193169431878,0.308604755017531,-1.5842354265504488,-0.927349266876903,0.9402982274263747
1.7565992452789678,-0.7389046886555021,-0.48129207553071385,-0.3549006414178235,1.598205241473803,-0.31030002786051086,M.C.G.,Essendon,Geelong,Sunday,-1.4165457870887295,-0.9260113951445024,-1.0375296689408775,-0.04513972646121188,-0.927349266876903,0.9402982274263747
-0.8282989773871606,-2.306852747579086,-0.6997995003088274,-0.37005863885679924,1.598205241473803,3.222687432208448,M.C.G.,Hawthorn,Geelong,Friday,1.3343552830331735,0.37926014816143594,-1.4221395043575658,-1.1994615015281396,1.0783423632476334,0.9402982274263747
-0.253877150128021,-1.309067619173169,1.0264091554382728,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,St Kilda,Collingwood,Saturday,-1.175841943453063,-0.6558012788498783,1.6547391789759396,0.9167950860945612,-0.927349266876903,0.9402982274263747
-1.1155098910167305,-0.7389046886555021,0.23978242623706233,0.7213171767494486,-0.7133604674159787,-0.31030002786051086,Subiaco,Fremantle,Collingwood,Saturday,0.44031243524355507,-0.7286092172988512,-0.6529198335241895,-0.4299136514835211,1.0783423632476334,0.9402982274263747
-0.8282989773871606,0.5439619050092483,0.23978242623706233,-0.18816266958909125,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,Sydney,Sunday,-1.347773260335682,-1.0463342945169771,0.308604755017531,-1.1994615015281396,-0.927349266876903,0.9402982274263747
-0.253877150128021,-0.5963639560260854,0.8297524731379698,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,St Kilda,Sunday,-0.7975930463113013,1.1286836332559353,-0.46061491581584535,0.7244081235834066,-0.927349266876903,-1.0634923802175307
-1.4027208046463002,0.5439619050092483,1.2886180651720094,1.4489010538202804,-0.7506842666453644,-0.31030002786051086,Gabba,Brisbane Lions,St Kilda,Saturday,1.2655827562801258,-0.7956615874909878,0.6932145904342192,-0.23752668897236648,-0.927349266876903,0.9402982274263747
0.32054467713111867,0.25888043975041497,-0.6342472728753935,-0.37005863885679924,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Port Adelaide,Melbourne,Friday,1.1280377027740307,0.05828670060055863,-0.46061491581584535,-0.8146875765058303,1.0783423632476334,-1.0634923802175307
-1.4027208046463002,-1.0239861539143356,0.6330957908376676,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,St Kilda,Saturday,1.2655827562801258,-1.8042039622197972,1.2701293435592513,-0.4299136514835211,-0.927349266876903,-1.0634923802175307
-0.253877150128021,0.6865026376386651,-0.7216502427866388,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,St Kilda,Melbourne,Sunday,-0.522502939299111,-0.5253509264583548,0.500909672725875,0.14724723604994272,1.0783423632476334,0.9402982274263747
0.6077555907606885,-0.31128249076725195,-0.3501876206638452,-0.09721468495523727,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Adelaide,West Coast,Saturday,-0.21302656891039692,0.2345223762222694,-0.46061491581584535,-0.6223006139946757,-0.927349266876903,0.9402982274263747
1.4693883316493979,0.9715841028974985,-0.30648613570822253,1.964272966745453,-0.5077962022458916,-0.31030002786051086,S.C.G.,Sydney,Adelaide,Saturday,-1.175841943453063,1.3225227868786182,-0.6529198335241895,1.3015690111168703,1.0783423632476334,-1.0634923802175307
-0.253877150128021,0.40142117237983166,-0.6997995003088274,-0.2487946593449939,1.598205241473803,3.222687432208448,M.C.G.,Carlton,Collingwood,Saturday,1.1624239661505547,-0.76281133354605,0.6932145904342192,0.9167950860945612,-0.927349266876903,0.9402982274263747
1.7565992452789678,0.9715841028974985,0.10867797137019443,-0.06689869007728595,-0.022020073446946217,-0.31030002786051086,Perth Stadium,Fremantle,Sydney,Saturday,0.44031243524355507,-0.8334076707883377,1.0778244258509073,0.9167950860945612,-0.927349266876903,0.9402982274263747
1.4693883316493979,-0.5963639560260854,-0.7872024702200731,-0.33974264397884785,-0.29085667939309595,-0.31030002786051086,Docklands,Carlton,Adelaide,Sunday,0.027677274725269593,0.7955225879669492,-0.6529198335241895,0.532021161072252,1.0783423632476334,-1.0634923802175307
-1.1155098910167305,-0.45382322339666864,0.39273762358174197,0.4181572279699353,-1.4388671157772037,-0.31030002786051086,Sydney Showground,Greater Western Sydney,West Coast,Saturday,-1.003910626570444,-2.167871820899006,1.6547391789759396,0.33963419856109733,-0.927349266876903,0.9402982274263747
-1.4027208046463002,0.6865026376386651,-0.7653517277422618,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Geelong,Essendon,Friday,1.3343552830331735,-0.38428533808942733,-0.46061491581584535,-0.6223006139946757,-0.927349266876903,0.9402982274263747
0.32054467713111867,1.3992063007857487,-1.0275606374759985,-0.2487946593449939,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Adelaide,North Melbourne,Sunday,-0.17864030553387314,0.6060780720183098,0.500909672725875,0.14724723604994272,-0.927349266876903,-1.0634923802175307
-0.5410880637575908,0.6865026376386651,-0.7653517277422618,-0.09721468495523727,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Adelaide,Gold Coast,Saturday,-1.2102282068295867,0.9818357896023877,-0.2683099981075013,1.493955973628025,1.0783423632476334,-1.0634923802175307
-0.5410880637575908,-0.7389046886555021,0.9608569280048386,-0.2184786644670426,-0.7506842666453644,-0.31030002786051086,Gabba,Brisbane Lions,Port Adelaide,Sunday,0.027677274725269593,-1.5308231924782703,1.6547391789759396,0.14724723604994272,1.0783423632476334,-1.0634923802175307
-0.5410880637575908,0.40142117237983166,-0.41573984809727954,-0.33974264397884785,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,Adelaide,Saturday,0.44031243524355507,1.068451127892955,-1.4221395043575658,-0.4299136514835211,1.0783423632476334,0.9402982274263747
-0.253877150128021,1.5417470334151655,-0.6123965303975818,-0.33974264397884785,-0.29085667939309595,-0.31030002786051086,Docklands,North Melbourne,Greater Western Sydney,Saturday,1.1624239661505547,-0.8982517138849578,-0.2683099981075013,-0.8146875765058303,-0.927349266876903,0.9402982274263747
-0.5410880637575908,-1.4516083518025857,1.3760210350832547,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Collingwood,Adelaide,Saturday,-0.006708988651254196,-1.0276400587387675,-0.6529198335241895,-1.5842354265504488,1.0783423632476334,0.9402982274263747
1.4693883316493979,-0.1687417581378352,-0.6997995003088274,-0.3549006414178235,1.598205241473803,-0.31030002786051086,M.C.G.,Melbourne,Fremantle,Saturday,-0.006708988651254196,1.0102263727087404,-1.6144444220659098,-1.0070745390169848,1.0783423632476334,-1.0634923802175307
0.03333376350154884,-0.5963639560260854,0.8516032156157816,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,Western Bulldogs,Friday,0.6466300155026977,0.41794006997276517,-1.0375296689408775,-0.8146875765058303,1.0783423632476334,0.9402982274263747
0.32054467713111867,1.256665568156332,-0.8309039551756957,0.6606851869935458,-0.29085667939309595,-0.31030002786051086,Docklands,North Melbourne,Western Bulldogs,Sunday,-1.4165457870887295,0.7705570316016244,0.1162998373091869,0.9167950860945612,1.0783423632476334,0.9402982274263747
-0.5410880637575908,0.11633970712099823,-0.9620084100425644,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Carlton,Gold Coast,Sunday,-0.522502939299111,0.4780029063065543,1.2701293435592513,1.493955973628025,1.0783423632476334,-1.0634923802175307
-0.253877150128021,-0.8814454212849188,0.174230198803628,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,Collingwood,Sunday,-0.7975930463113013,1.2556021266993582,-0.2683099981075013,0.33963419856109733,-0.927349266876903,0.9402982274263747
-0.8282989773871606,1.5417470334151655,0.480140593492988,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Western Bulldogs,Greater Western Sydney,Sunday,0.027677274725269593,0.8728159504739941,0.8855195081425632,1.3015690111168703,-0.927349266876903,-1.0634923802175307
0.32054467713111867,-0.8814454212849188,2.70891632622975,-0.37005863885679924,-0.022020073446946217,3.222687432208448,Perth Stadium,Fremantle,West Coast,Sunday,-0.7975930463113013,-0.6090374135377191,0.308604755017531,-1.391848464039294,1.0783423632476334,0.9402982274263747
0.03333376350154884,-1.0239861539143356,2.184498506762277,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,Fremantle,North Melbourne,Saturday,0.44031243524355507,0.13540846717697044,0.500909672725875,1.493955973628025,1.0783423632476334,-1.0634923802175307
-0.253877150128021,-1.0239861539143356,0.39273762358174197,-0.37005863885679924,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Port Adelaide,Geelong,Saturday,1.093651439397507,-0.5165560965662183,0.308604755017531,-1.0070745390169848,-0.927349266876903,0.9402982274263747
-1.4027208046463002,-1.1665268865437521,1.441573262516689,-0.37005863885679924,-0.5077962022458916,-0.31030002786051086,S.C.G.,Sydney,North Melbourne,Sunday,-0.5568892026756348,-0.2323146794139652,-1.2298345866492217,-0.6223006139946757,1.0783423632476334,0.9402982274263747
-0.5410880637575908,-1.0239861539143356,1.0919613828717072,0.9941611306510105,-0.5077962022458916,-0.31030002786051086,S.C.G.,Sydney,Western Bulldogs,Saturday,-1.003910626570444,1.1595855273117255,-1.0375296689408775,-0.6223006139946757,-0.927349266876903,0.9402982274263747
1.7565992452789678,1.5417470334151655,-0.9838591525203757,0.6606851869935458,-0.29085667939309595,-0.31030002786051086,Docklands,Collingwood,Brisbane Lions,Friday,1.3343552830331735,-0.47133149735783675,-1.6144444220659098,-1.391848464039294,1.0783423632476334,0.9402982274263747
0.03333376350154884,-0.8814454212849188,1.965991081984163,-0.37005863885679924,-0.7133604674159787,3.222687432208448,Subiaco,West Coast,Fremantle,Saturday,0.6466300155026977,0.7217693794678604,-0.46061491581584535,-0.04513972646121188,-0.927349266876903,0.9402982274263747
0.32054467713111867,1.5417470334151655,-0.32833687818603347,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Carlton,Adelaide,Saturday,1.1624239661505547,-1.6398317703899374,1.6547391789759396,0.532021161072252,-0.927349266876903,0.9402982274263747
-0.253877150128021,0.9715841028974985,-0.32833687818603347,0.14531327406837333,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Adelaide,Essendon,Sunday,-0.17864030553387314,1.6564635069810612,-0.6529198335241895,1.6863429361391795,-0.927349266876903,-1.0634923802175307
0.32054467713111867,-1.0239861539143356,1.3104688076498212,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,St Kilda,Greater Western Sydney,Saturday,-1.175841943453063,-1.1720516095908011,1.2701293435592513,-1.5842354265504488,-0.927349266876903,0.9402982274263747
0.03333376350154884,-1.4516083518025857,2.512259643929448,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,West Coast,St Kilda,Saturday,0.027677274725269593,1.1910295598597223,-1.0375296689408775,0.7244081235834066,1.0783423632476334,-1.0634923802175307
-0.253877150128021,1.3992063007857487,-0.2409339082747882,-0.06689869007728595,-1.4388671157772037,-0.31030002786051086,Sydney Showground,Greater Western Sydney,Fremantle,Saturday,-0.006708988651254196,1.6564635069810612,-0.8452247512325335,1.3015690111168703,-0.927349266876903,-1.0634923802175307
1.7565992452789678,-1.0239861539143356,0.28348391119268496,1.2063730947966698,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Essendon,Melbourne,Saturday,-0.3849578857930159,-1.1527154587641175,-1.0375296689408775,-1.1994615015281396,1.0783423632476334,0.9402982274263747
1.4693883316493979,0.5439619050092483,-1.333471032165358,-0.33974264397884785,-0.8316469547785219,-0.31030002786051086,Kardinia Park,Geelong,North Melbourne,Saturday,1.1624239661505547,1.6564635069810612,-1.4221395043575658,1.6863429361391795,1.0783423632476334,-1.0634923802175307
-0.253877150128021,-2.449393480208503,-0.8309039551756957,-0.37005863885679924,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Adelaide,North Melbourne,Saturday,1.0592651760209832,1.1595855273117255,-0.8452247512325335,-0.23752668897236648,-0.927349266876903,-1.0634923802175307
-0.8282989773871606,-0.45382322339666864,1.0264091554382728,-0.37005863885679924,-0.7133604674159787,-0.31030002786051086,Subiaco,Fremantle,Geelong,Saturday,0.44031243524355507,-0.12206621274517448,-0.2683099981075013,-1.1994615015281396,-0.927349266876903,0.9402982274263747
0.6077555907606885,0.40142117237983166,-0.5686950454419591,-0.30942664910089657,-0.022020073446946217,-0.31030002786051086,Perth Stadium,Fremantle,Carlton,Sunday,-0.522502939299111,1.1595855273117255,-0.2683099981075013,1.6863429361391795,-0.927349266876903,-1.0634923802175307
-0.253877150128021,0.40142117237983166,-0.06612796845229689,-0.37005863885679924,-0.5077962022458916,-0.31030002786051086,S.C.G.,Sydney,Western Bulldogs,Saturday,-0.006708988651254196,0.5406583830576293,-1.4221395043575658,-0.6223006139946757,1.0783423632476334,-1.0634923802175307
-1.4027208046463002,0.5439619050092483,-1.0712621224316214,-0.30942664910089657,-0.29085667939309595,-0.31030002786051086,Docklands,Melbourne,Fremantle,Saturday,-1.175841943453063,-1.1205048581465022,1.2701293435592513,0.532021161072252,-0.927349266876903,0.9402982274263747
-1.1155098910167305,-0.1687417581378352,-0.17538168084135386,-0.37005863885679924,-1.4388671157772037,-0.31030002786051086,Sydney Showground,Greater Western Sydney,Geelong,Saturday,-1.2102282068295867,-2.194737386118441,1.6547391789759396,-1.391848464039294,-0.927349266876903,0.9402982274263747
0.32054467713111867,-0.31128249076725195,-0.41573984809727954,-0.37005863885679924,-0.8316469547785219,-0.31030002786051086,Kardinia Park,Geelong,Carlton,Saturday,1.1624239661505547,1.427594477627362,-0.2683099981075013,1.6863429361391795,-0.927349266876903,-1.0634923802175307
1.7565992452789678,0.8290433702680818,-1.114963607387244,-0.37005863885679924,1.598205241473803,-0.31030002786051086,M.C.G.,Collingwood,Fremantle,Saturday,-1.175841943453063,1.463940031031015,-1.6144444220659098,0.9167950860945612,1.0783423632476334,-1.0634923802175307
0.6077555907606885,1.1141248355269153,1.1793643527829525,-0.37005863885679924,-0.7506842666453644,-0.31030002786051086,Gabba,Brisbane Lions,Western Bulldogs,Sunday,0.027677274725269593,0.6285307553900005,-1.2298345866492217,-0.04513972646121188,1.0783423632476334,0.9402982274263747
1.7565992452789678,1.684287766044582,1.2449165802163868,-0.37005863885679924,-0.022020073446946217,-0.31030002786051086,Perth Stadium,West Coast,Adelaide,Saturday,0.6466300155026977,-1.4751925548091354,1.4624342612675956,0.7244081235834066,1.0783423632476334,-1.0634923802175307
1.4693883316493979,-1.0239861539143356,-0.3720383631416569,1.6307970230879882,1.598205241473803,3.222687432208448,M.C.G.,Hawthorn,Geelong,Monday,-0.522502939299111,-1.1287094450962722,0.308604755017531,-0.8146875765058303,-0.927349266876903,0.9402982274263747
0.32054467713111867,-0.8814454212849188,-0.0005757410188625427,-0.37005863885679924,-0.29085667939309595,-0.31030002786051086,Docklands,Essendon,Melbourne,Sunday,-1.4165457870887295,-0.4620281512349698,0.6932145904342192,0.9167950860945612,-0.927349266876903,-1.0634923802175307
1.7565992452789678,0.8290433702680818,0.08682722889238273,-0.37005863885679924,-0.022020073446946217,-0.31030002786051086,Perth Stadium,West Coast,Richmond,Sunday,-0.7975930463113013,-1.8032675667131006,1.6547391789759396,0.532021161072252,-0.927349266876903,0.9402982274263747
0.32054467713111867,-0.02620102550841849,-0.4375905905750905,0.9941611306510105,-1.4388671157772037,-0.31030002786051086,Sydney Showground,Greater Western Sydney,Gold Coast,Saturday,-0.006708988651254196,1.463940031031015,0.308604755017531,1.1091820486057158,1.0783423632476334,-1.0634923802175307
-0.253877150128021,1.1141248355269153,-0.5468443029641474,-0.37005863885679924,-0.28178885832218226,-0.31030002786051086,Adelaide Oval,Adelaide,Brisbane Lions,Saturday,1.0592651760209832,1.6564635069810612,-0.8452247512325335,1.493955973628025,1.0783423632476334,-1.0634923802175307
0.03333376350154884,0.5439619050092483,-0.8746054401313188,-0.2184786644670426,1.598205241473803,-0.31030002786051086,M.C.G.,Carlton,Melbourne,Sunday,-0.522502939299111,-0.8210214722484813,1.2701293435592513,-0.6223006139946757,-0.927349266876903,-1.0634923802175307
